	station_id	stationname	date	daytype	rides
15691	40370	Washington/Dearborn	01/15/2018	W	7,137
15947	40370	Washington/Dearborn	02/07/2018	W	12,358
16043	40370	Washington/Dearborn	01/02/2018	W	10,024
16231	40370	Washington/Dearborn	01/30/2018	W	12,662
16249	40370	Washington/Dearborn	02/20/2018	W	13,002
16454	40370	Washington/Dearborn	03/30/2018	W	11,318
16474	40370	Washington/Dearborn	01/04/2018	W	11,328
17022	40370	Washington/Dearborn	03/29/2018	W	12,780
17039	40370	Washington/Dearborn	02/11/2018	U	3,422
17077	40370	Washington/Dearborn	02/02/2018	W	12,200
17169	40370	Washington/Dearborn	02/23/2018	W	12,709
17497	40370	Washington/Dearborn	02/16/2018	W	13,164
17530	40370	Washington/Dearborn	06/28/2018	W	14,625
17851	40370	Washington/Dearborn	05/15/2018	W	13,232
17892	40370	Washington/Dearborn	04/14/2018	A	5,304
17901	40370	Washington/Dearborn	05/29/2018	W	12,510
18062	40370	Washington/Dearborn	06/25/2018	W	13,604
18247	40370	Washington/Dearborn	04/28/2018	A	5,750
18296	40370	Washington/Dearborn	06/27/2018	W	14,185
18366	40370	Washington/Dearborn	06/08/2018	W	13,912
18543	40370	Washington/Dearborn	06/01/2018	W	13,517
18760	40370	Washington/Dearborn	04/15/2018	U	3,508
18898	40370	Washington/Dearborn	06/22/2018	W	12,983
18973	40370	Washington/Dearborn	05/11/2018	W	13,321
18997	40370	Washington/Dearborn	05/25/2018	W	12,376
19094	40370	Washington/Dearborn	04/23/2018	W	12,897
19110	40370	Washington/Dearborn	06/06/2018	W	13,309
19193	40370	Washington/Dearborn	04/09/2018	W	12,423
19508	40370	Washington/Dearborn	04/25/2018	W	13,023
19525	40370	Washington/Dearborn	04/17/2018	W	13,310
19891	40370	Washington/Dearborn	06/15/2018	W	13,301
20346	40370	Washington/Dearborn	04/06/2018	W	12,925
20767	40370	Washington/Dearborn	05/27/2018	U	5,229
20821	40370	Washington/Dearborn	04/10/2018	W	13,068
20871	40370	Washington/Dearborn	04/03/2018	W	12,959
21232	40370	Washington/Dearborn	06/13/2018	W	13,929
21331	40370	Washington/Dearborn	05/26/2018	A	7,045
21454	40370	Washington/Dearborn	05/04/2018	W	12,791
21620	40370	Washington/Dearborn	05/17/2018	W	13,564
21717	40370	Washington/Dearborn	05/23/2018	W	13,389
21993	40370	Washington/Dearborn	04/01/2018	U	3,314
22355	40370	Washington/Dearborn	05/30/2018	W	12,650
22389	40370	Washington/Dearborn	04/29/2018	U	4,702
22424	40370	Washington/Dearborn	06/05/2018	W	13,772
22566	40370	Washington/Dearborn	05/16/2018	W	13,113
22729	40370	Washington/Dearborn	04/02/2018	W	12,242
22737	40370	Washington/Dearborn	06/19/2018	W	13,885
22894	40370	Washington/Dearborn	05/02/2018	W	13,334
23077	40370	Washington/Dearborn	04/13/2018	W	13,021
23357	40370	Washington/Dearborn	06/04/2018	W	13,040
23492	40370	Washington/Dearborn	06/12/2018	W	14,045
23720	40370	Washington/Dearborn	06/02/2018	A	6,413
23721	40370	Washington/Dearborn	06/03/2018	U	5,627
24023	40370	Washington/Dearborn	06/21/2018	W	13,611
24129	40370	Washington/Dearborn	06/20/2018	W	14,320
24241	40370	Washington/Dearborn	04/20/2018	W	13,079
24352	40370	Washington/Dearborn	04/08/2018	U	3,783
24432	40370	Washington/Dearborn	06/30/2018	A	8,024
24451	40370	Washington/Dearborn	05/06/2018	U	4,326
24453	40370	Washington/Dearborn	04/04/2018	W	12,907
24457	40370	Washington/Dearborn	04/18/2018	W	13,307
24774	40370	Washington/Dearborn	05/22/2018	W	13,242
24824	40370	Washington/Dearborn	04/11/2018	W	12,863
24879	40370	Washington/Dearborn	05/31/2018	W	13,306
24894	40370	Washington/Dearborn	05/14/2018	W	12,579
25077	40370	Washington/Dearborn	06/29/2018	W	13,638
25372	40370	Washington/Dearborn	06/07/2018	W	14,333
25771	40370	Washington/Dearborn	04/24/2018	W	12,984
25793	40370	Washington/Dearborn	06/24/2018	U	7,197
26055	40370	Washington/Dearborn	06/10/2018	U	5,429
26173	40370	Washington/Dearborn	06/11/2018	W	13,805
26204	40370	Washington/Dearborn	05/24/2018	W	13,482
26265	40370	Washington/Dearborn	06/09/2018	A	7,980
26360	40370	Washington/Dearborn	04/26/2018	W	13,307
27178	40370	Washington/Dearborn	05/09/2018	W	13,399
27201	40370	Washington/Dearborn	05/19/2018	A	6,228
27393	40370	Washington/Dearborn	05/08/2018	W	13,524
27554	40370	Washington/Dearborn	06/17/2018	U	5,138
27662	40370	Washington/Dearborn	04/19/2018	W	13,445
27665	40370	Washington/Dearborn	04/16/2018	W	12,849
27793	40370	Washington/Dearborn	04/21/2018	A	5,542
27804	40370	Washington/Dearborn	05/21/2018	W	12,598
27820	40370	Washington/Dearborn	06/26/2018	W	13,640
28189	40370	Washington/Dearborn	05/07/2018	W	13,000
28280	40370	Washington/Dearborn	05/28/2018	U	5,186
28402	40370	Washington/Dearborn	04/30/2018	W	13,028
28530	40370	Washington/Dearborn	06/18/2018	W	13,625
28649	40370	Washington/Dearborn	06/14/2018	W	14,128
28784	40370	Washington/Dearborn	05/01/2018	W	13,611
28825	40370	Washington/Dearborn	06/16/2018	A	6,701
29021	40370	Washington/Dearborn	05/03/2018	W	13,302
29321	40370	Washington/Dearborn	04/07/2018	A	5,729
29407	40370	Washington/Dearborn	05/10/2018	W	13,770
29421	40370	Washington/Dearborn	05/12/2018	A	5,535
29512	40370	Washington/Dearborn	05/20/2018	U	4,166
29633	40370	Washington/Dearborn	04/05/2018	W	13,166
29699	40370	Washington/Dearborn	04/22/2018	U	4,132
29700	40370	Washington/Dearborn	06/23/2018	A	7,025
29804	40370	Washington/Dearborn	05/18/2018	W	13,002
29814	40370	Washington/Dearborn	04/27/2018	W	13,020
29923	40370	Washington/Dearborn	04/12/2018	W	13,285
29980	40370	Washington/Dearborn	05/13/2018	U	4,478
30014	40370	Washington/Dearborn	05/05/2018	A	6,409
31714	40370	Washington/Dearborn	07/01/2018	U	4,544
31715	40370	Washington/Dearborn	07/02/2018	W	13,008
31716	40370	Washington/Dearborn	07/03/2018	W	13,141
31717	40370	Washington/Dearborn	07/04/2018	U	5,337
31718	40370	Washington/Dearborn	07/05/2018	W	11,674
31719	40370	Washington/Dearborn	07/06/2018	W	12,587
31720	40370	Washington/Dearborn	07/07/2018	A	6,758
31721	40370	Washington/Dearborn	07/08/2018	U	5,156
31722	40370	Washington/Dearborn	07/09/2018	W	13,549
31723	40370	Washington/Dearborn	07/10/2018	W	13,941
31724	40370	Washington/Dearborn	07/11/2018	W	14,152
31725	40370	Washington/Dearborn	07/12/2018	W	14,611
31726	40370	Washington/Dearborn	07/13/2018	W	13,818
31727	40370	Washington/Dearborn	07/14/2018	A	6,957
31728	40370	Washington/Dearborn	07/15/2018	U	5,802
31729	40370	Washington/Dearborn	07/16/2018	W	13,411
31730	40370	Washington/Dearborn	07/17/2018	W	14,059
31731	40370	Washington/Dearborn	07/18/2018	W	14,325
31732	40370	Washington/Dearborn	07/19/2018	W	14,693
31733	40370	Washington/Dearborn	07/20/2018	W	13,828
31734	40370	Washington/Dearborn	07/21/2018	A	7,148
31735	40370	Washington/Dearborn	07/22/2018	U	5,507
31736	40370	Washington/Dearborn	07/23/2018	W	14,805
31737	40370	Washington/Dearborn	07/24/2018	W	15,077
31738	40370	Washington/Dearborn	07/25/2018	W	14,396
31739	40370	Washington/Dearborn	07/26/2018	W	14,265
31740	40370	Washington/Dearborn	07/27/2018	W	14,177
31741	40370	Washington/Dearborn	07/28/2018	A	7,139
31742	40370	Washington/Dearborn	07/29/2018	U	4,321
31743	40370	Washington/Dearborn	07/30/2018	W	13,985
31744	40370	Washington/Dearborn	07/31/2018	W	14,303
36188	40370	Washington/Dearborn	08/01/2018	W	14,146
36189	40370	Washington/Dearborn	08/02/2018	W	15,060
36190	40370	Washington/Dearborn	08/03/2018	W	14,049
36191	40370	Washington/Dearborn	08/04/2018	A	7,206
36192	40370	Washington/Dearborn	08/05/2018	U	5,762
36193	40370	Washington/Dearborn	08/06/2018	W	13,443
36194	40370	Washington/Dearborn	08/07/2018	W	13,866
36195	40370	Washington/Dearborn	08/08/2018	W	13,785
36196	40370	Washington/Dearborn	08/09/2018	W	14,198
36197	40370	Washington/Dearborn	08/10/2018	W	13,498
36198	40370	Washington/Dearborn	08/11/2018	A	6,711
36199	40370	Washington/Dearborn	08/12/2018	U	6,603
36200	40370	Washington/Dearborn	08/13/2018	W	13,608
36201	40370	Washington/Dearborn	08/14/2018	W	14,449
36202	40370	Washington/Dearborn	08/15/2018	W	13,772
36203	40370	Washington/Dearborn	08/16/2018	W	13,599
36204	40370	Washington/Dearborn	08/17/2018	W	12,773
36205	40370	Washington/Dearborn	08/18/2018	A	7,177
36206	40370	Washington/Dearborn	08/19/2018	U	5,578
36207	40370	Washington/Dearborn	08/20/2018	W	12,618
36208	40370	Washington/Dearborn	08/21/2018	W	13,315
36209	40370	Washington/Dearborn	08/22/2018	W	13,138
36210	40370	Washington/Dearborn	08/23/2018	W	13,254
36211	40370	Washington/Dearborn	08/24/2018	W	12,785
36212	40370	Washington/Dearborn	08/25/2018	A	6,827
36213	40370	Washington/Dearborn	08/26/2018	U	5,034
36214	40370	Washington/Dearborn	08/27/2018	W	13,505
36215	40370	Washington/Dearborn	08/28/2018	W	14,094
36216	40370	Washington/Dearborn	08/29/2018	W	13,906
36217	40370	Washington/Dearborn	08/30/2018	W	14,345
36218	40370	Washington/Dearborn	08/31/2018	W	13,426
40617	40370	Washington/Dearborn	09/01/2018	A	6,176
40618	40370	Washington/Dearborn	09/02/2018	U	6,559
40619	40370	Washington/Dearborn	09/03/2018	U	5,164
40620	40370	Washington/Dearborn	09/04/2018	W	13,357
40621	40370	Washington/Dearborn	09/05/2018	W	13,924
40622	40370	Washington/Dearborn	09/06/2018	W	13,806
40623	40370	Washington/Dearborn	09/07/2018	W	13,772
40624	40370	Washington/Dearborn	09/08/2018	A	6,621
40625	40370	Washington/Dearborn	09/09/2018	U	4,977
40626	40370	Washington/Dearborn	09/10/2018	W	13,589
40627	40370	Washington/Dearborn	09/11/2018	W	13,948
40628	40370	Washington/Dearborn	09/12/2018	W	14,373
40629	40370	Washington/Dearborn	09/13/2018	W	14,356
40630	40370	Washington/Dearborn	09/14/2018	W	14,176
40631	40370	Washington/Dearborn	09/15/2018	A	7,306
40632	40370	Washington/Dearborn	09/16/2018	U	5,106
40633	40370	Washington/Dearborn	09/17/2018	W	13,995
40634	40370	Washington/Dearborn	09/18/2018	W	14,149
40635	40370	Washington/Dearborn	09/19/2018	W	14,031
40636	40370	Washington/Dearborn	09/20/2018	W	14,411
40637	40370	Washington/Dearborn	09/21/2018	W	13,880
40638	40370	Washington/Dearborn	09/22/2018	A	7,160
40639	40370	Washington/Dearborn	09/23/2018	U	4,494
40640	40370	Washington/Dearborn	09/24/2018	W	14,062
40641	40370	Washington/Dearborn	09/25/2018	W	14,677
40642	40370	Washington/Dearborn	09/26/2018	W	14,381
40643	40370	Washington/Dearborn	09/27/2018	W	14,572
40644	40370	Washington/Dearborn	09/28/2018	W	14,890
40645	40370	Washington/Dearborn	09/29/2018	A	7,608
40646	40370	Washington/Dearborn	09/30/2018	U	5,773
44986	40370	Washington/Dearborn	10/01/2018	W	14,157
44987	40370	Washington/Dearborn	10/02/2018	W	14,319
44988	40370	Washington/Dearborn	10/03/2018	W	14,402
44989	40370	Washington/Dearborn	10/04/2018	W	15,032
44990	40370	Washington/Dearborn	10/05/2018	W	13,995
44991	40370	Washington/Dearborn	10/06/2018	A	7,267
44992	40370	Washington/Dearborn	10/07/2018	U	7,382
44993	40370	Washington/Dearborn	10/08/2018	W	13,288
44994	40370	Washington/Dearborn	10/09/2018	W	15,287
44995	40370	Washington/Dearborn	10/10/2018	W	14,598
