	station_id	stationname	date	daytype	rides
16294	40890	O'Hare Airport	01/21/2018	U	6,741
16303	40890	O'Hare Airport	01/09/2018	W	8,685
16635	40890	O'Hare Airport	02/15/2018	W	10,019
16726	40890	O'Hare Airport	02/11/2018	U	8,159
16916	40890	O'Hare Airport	03/25/2018	U	10,450
16966	40890	O'Hare Airport	02/05/2018	W	9,604
17060	40890	O'Hare Airport	01/17/2018	W	6,762
17503	40890	O'Hare Airport	01/20/2018	A	6,382
17656	40890	O'Hare Airport	06/02/2018	A	9,591
17853	40890	O'Hare Airport	04/29/2018	U	10,743
17999	40890	O'Hare Airport	05/03/2018	W	11,522
18046	40890	O'Hare Airport	05/22/2018	W	12,230
18116	40890	O'Hare Airport	04/13/2018	W	12,541
18209	40890	O'Hare Airport	04/10/2018	W	9,615
18613	40890	O'Hare Airport	06/26/2018	W	10,379
18620	40890	O'Hare Airport	06/10/2018	U	11,186
18838	40890	O'Hare Airport	06/15/2018	W	13,196
18969	40890	O'Hare Airport	06/18/2018	W	11,552
19188	40890	O'Hare Airport	04/19/2018	W	11,526
19223	40890	O'Hare Airport	04/03/2018	W	9,722
19348	40890	O'Hare Airport	06/01/2018	W	13,254
19542	40890	O'Hare Airport	04/25/2018	W	10,580
19598	40890	O'Hare Airport	06/19/2018	W	11,218
19655	40890	O'Hare Airport	04/02/2018	W	10,453
20064	40890	O'Hare Airport	05/19/2018	A	9,938
20225	40890	O'Hare Airport	05/01/2018	W	10,199
20479	40890	O'Hare Airport	04/27/2018	W	12,837
20592	40890	O'Hare Airport	04/14/2018	A	8,719
20666	40890	O'Hare Airport	05/23/2018	W	12,205
20800	40890	O'Hare Airport	05/11/2018	W	12,947
20881	40890	O'Hare Airport	06/12/2018	W	11,582
20952	40890	O'Hare Airport	06/29/2018	W	14,387
21064	40890	O'Hare Airport	06/06/2018	W	12,245
21142	40890	O'Hare Airport	04/08/2018	U	8,961
22052	40890	O'Hare Airport	04/09/2018	W	10,397
22142	40890	O'Hare Airport	06/13/2018	W	11,666
22189	40890	O'Hare Airport	04/26/2018	W	11,881
22235	40890	O'Hare Airport	06/08/2018	W	14,452
22257	40890	O'Hare Airport	04/06/2018	W	10,945
22404	40890	O'Hare Airport	05/04/2018	W	12,727
22542	40890	O'Hare Airport	05/14/2018	W	11,239
22553	40890	O'Hare Airport	06/25/2018	W	12,554
22683	40890	O'Hare Airport	04/11/2018	W	10,221
22918	40890	O'Hare Airport	04/17/2018	W	10,287
22961	40890	O'Hare Airport	06/22/2018	W	13,404
23392	40890	O'Hare Airport	05/07/2018	W	12,437
23588	40890	O'Hare Airport	05/30/2018	W	10,096
23656	40890	O'Hare Airport	04/28/2018	A	9,490
23839	40890	O'Hare Airport	06/03/2018	U	11,299
23901	40890	O'Hare Airport	06/09/2018	A	10,123
23966	40890	O'Hare Airport	04/30/2018	W	11,995
24164	40890	O'Hare Airport	05/25/2018	W	14,486
24260	40890	O'Hare Airport	05/29/2018	W	12,318
24446	40890	O'Hare Airport	06/28/2018	W	13,427
24616	40890	O'Hare Airport	06/24/2018	U	11,812
24786	40890	O'Hare Airport	05/12/2018	A	9,557
24863	40890	O'Hare Airport	05/24/2018	W	13,246
25108	40890	O'Hare Airport	05/28/2018	U	13,242
25544	40890	O'Hare Airport	05/02/2018	W	9,138
25548	40890	O'Hare Airport	04/07/2018	A	8,073
25580	40890	O'Hare Airport	06/14/2018	W	12,583
26016	40890	O'Hare Airport	04/15/2018	U	9,336
26107	40890	O'Hare Airport	04/04/2018	W	10,347
26126	40890	O'Hare Airport	04/12/2018	W	11,322
26237	40890	O'Hare Airport	06/04/2018	W	11,867
26244	40890	O'Hare Airport	04/20/2018	W	12,285
26479	40890	O'Hare Airport	05/05/2018	A	9,393
26681	40890	O'Hare Airport	05/10/2018	W	13,104
26747	40890	O'Hare Airport	06/17/2018	U	11,537
26749	40890	O'Hare Airport	06/21/2018	W	11,981
26898	40890	O'Hare Airport	06/30/2018	A	9,859
26956	40890	O'Hare Airport	05/17/2018	W	12,886
27207	40890	O'Hare Airport	05/20/2018	U	10,914
27284	40890	O'Hare Airport	04/22/2018	U	10,393
27340	40890	O'Hare Airport	06/05/2018	W	12,002
27452	40890	O'Hare Airport	05/09/2018	W	10,522
27755	40890	O'Hare Airport	06/07/2018	W	13,857
27901	40890	O'Hare Airport	06/11/2018	W	12,978
27983	40890	O'Hare Airport	04/16/2018	W	10,616
28210	40890	O'Hare Airport	05/08/2018	W	11,207
28277	40890	O'Hare Airport	05/06/2018	U	10,924
28427	40890	O'Hare Airport	05/26/2018	A	11,585
28507	40890	O'Hare Airport	05/16/2018	W	11,581
28572	40890	O'Hare Airport	06/23/2018	A	10,358
28742	40890	O'Hare Airport	04/23/2018	W	11,328
28811	40890	O'Hare Airport	05/18/2018	W	13,898
28947	40890	O'Hare Airport	04/01/2018	U	9,382
28984	40890	O'Hare Airport	06/27/2018	W	12,563
29009	40890	O'Hare Airport	05/27/2018	U	9,580
29670	40890	O'Hare Airport	04/05/2018	W	11,084
29754	40890	O'Hare Airport	05/15/2018	W	12,154
29821	40890	O'Hare Airport	05/13/2018	U	11,514
29898	40890	O'Hare Airport	05/21/2018	W	12,303
29914	40890	O'Hare Airport	06/16/2018	A	9,831
30133	40890	O'Hare Airport	04/18/2018	W	10,067
30197	40890	O'Hare Airport	04/24/2018	W	10,391
30328	40890	O'Hare Airport	05/31/2018	W	12,516
30491	40890	O'Hare Airport	06/20/2018	W	12,786
30530	40890	O'Hare Airport	04/21/2018	A	8,650
33171	40890	O'Hare Airport	07/01/2018	U	9,817
33172	40890	O'Hare Airport	07/02/2018	W	11,769
33173	40890	O'Hare Airport	07/03/2018	W	11,178
33174	40890	O'Hare Airport	07/04/2018	U	10,597
33175	40890	O'Hare Airport	07/05/2018	W	11,408
33176	40890	O'Hare Airport	07/06/2018	W	12,861
33177	40890	O'Hare Airport	07/07/2018	A	10,041
33178	40890	O'Hare Airport	07/08/2018	U	12,604
33179	40890	O'Hare Airport	07/09/2018	W	12,776
33180	40890	O'Hare Airport	07/10/2018	W	11,332
33181	40890	O'Hare Airport	07/11/2018	W	12,306
33182	40890	O'Hare Airport	07/12/2018	W	13,371
33183	40890	O'Hare Airport	07/13/2018	W	15,008
33184	40890	O'Hare Airport	07/14/2018	A	10,332
33185	40890	O'Hare Airport	07/15/2018	U	12,180
33186	40890	O'Hare Airport	07/16/2018	W	11,811
33187	40890	O'Hare Airport	07/17/2018	W	11,375
33188	40890	O'Hare Airport	07/18/2018	W	12,589
33189	40890	O'Hare Airport	07/19/2018	W	15,141
33190	40890	O'Hare Airport	07/20/2018	W	15,372
33191	40890	O'Hare Airport	07/21/2018	A	10,589
33192	40890	O'Hare Airport	07/22/2018	U	11,636
33193	40890	O'Hare Airport	07/23/2018	W	12,752
33194	40890	O'Hare Airport	07/24/2018	W	12,078
33195	40890	O'Hare Airport	07/25/2018	W	11,948
33196	40890	O'Hare Airport	07/26/2018	W	13,551
33197	40890	O'Hare Airport	07/27/2018	W	14,128
33198	40890	O'Hare Airport	07/28/2018	A	10,353
33199	40890	O'Hare Airport	07/29/2018	U	11,943
33200	40890	O'Hare Airport	07/30/2018	W	12,585
33201	40890	O'Hare Airport	07/31/2018	W	11,747
37645	40890	O'Hare Airport	08/01/2018	W	13,193
37646	40890	O'Hare Airport	08/02/2018	W	14,426
37647	40890	O'Hare Airport	08/03/2018	W	14,303
37648	40890	O'Hare Airport	08/04/2018	A	10,278
37649	40890	O'Hare Airport	08/05/2018	U	11,601
37650	40890	O'Hare Airport	08/06/2018	W	12,180
37651	40890	O'Hare Airport	08/07/2018	W	10,955
37652	40890	O'Hare Airport	08/08/2018	W	12,142
37653	40890	O'Hare Airport	08/09/2018	W	14,127
37654	40890	O'Hare Airport	08/10/2018	W	16,095
37655	40890	O'Hare Airport	08/11/2018	A	10,294
37656	40890	O'Hare Airport	08/12/2018	U	11,711
37657	40890	O'Hare Airport	08/13/2018	W	11,254
37658	40890	O'Hare Airport	08/14/2018	W	11,777
37659	40890	O'Hare Airport	08/15/2018	W	11,586
37660	40890	O'Hare Airport	08/16/2018	W	12,983
37661	40890	O'Hare Airport	08/17/2018	W	14,455
37662	40890	O'Hare Airport	08/18/2018	A	10,845
37663	40890	O'Hare Airport	08/19/2018	U	11,728
37664	40890	O'Hare Airport	08/20/2018	W	11,348
37665	40890	O'Hare Airport	08/21/2018	W	12,391
37666	40890	O'Hare Airport	08/22/2018	W	11,559
37667	40890	O'Hare Airport	08/23/2018	W	13,872
37668	40890	O'Hare Airport	08/24/2018	W	13,737
37669	40890	O'Hare Airport	08/25/2018	A	10,026
37670	40890	O'Hare Airport	08/26/2018	U	11,728
